track_name,artist_name,album_name,album_type,release_year,explicit,played_at,duration_mins,song_genre
Special,Zyme,Special,single,2026,False,2026-05-21 00:22:50.087,1.58,Electronic
Memories (feat. Kid Cudi),David Guetta,One More Love,album,2010,False,2026-05-21 00:21:27.556,3.5,Electronica
Ole Ole 2.0,Amit Mishra,Jawaani Jaaneman (Original Motion Picture Soundtrack),single,2020,False,2026-05-21 00:18:15.197,2.41,Bollywood
REC2 FUNK,NostalgicRedux,REC2 FUNK,single,2026,False,2026-05-20 11:36:58.010,2.61,Unknown
REC2 FUNK,NostalgicRedux,REC2 FUNK,single,2026,False,2026-05-17 20:32:24.481,2.61,Unknown
REC2 FUNK,NostalgicRedux,REC2 FUNK,single,2026,False,2026-05-17 18:00:56.920,2.61,Unknown
Creepin' (Remix),Diddy,The Love Album: Off The Grid (Extended),album,2023,True,2026-05-17 16:02:28.276,3.88,Hip-Hop/Rap
Fancy Footwork,Chromeo,Fancy Footwork,album,2007,False,2026-05-16 20:37:51.054,3.3,Alternative
Ole Ole 2.0,Amit Mishra,Jawaani Jaaneman (Original Motion Picture Soundtrack),single,2020,False,2026-05-16 16:27:40.008,2.41,Bollywood
What is Love?,Harrdy Sandhu,What is Love? (Lofi Remix),single,2026,False,2026-05-16 16:15:33.823,2.82,Indian Pop
Headlights (feat. KIDDO),Alok,Headlights (feat. KIDDO),single,2022,False,2026-05-16 08:27:25.988,2.64,Dance
Get Away,Kungs,Out Loud,album,2026,False,2026-05-16 08:27:05.454,4.48,Electronic
Fancy Footwork,Chromeo,Fancy Footwork,album,2007,False,2026-05-15 20:15:05.996,3.3,Alternative
Fancy Footwork,Chromeo,Fancy Footwork,album,2007,False,2026-05-15 15:06:20.288,3.3,Alternative
State Lines,Novo Amor,Birthplace,album,2018,False,2026-05-15 15:05:24.593,3.48,Alternative
I'll Do It,Heidi Montag,Superficial,album,2010,False,2026-05-14 19:26:39.500,3.51,Pop
Bounce,Shubh,Chapter IV,single,2026,False,2026-05-14 19:23:09.464,2.38,Hip-Hop
O Mere Khuda,Atif Aslam,Prince (Original Motion Picture Soundtrack),album,2010,False,2026-05-14 19:20:39.435,3.38,Bollywood
You're U Tho,Karan Aujla,P-POP CULTURE,album,2025,False,2026-05-14 19:17:09.568,3.06,Pop
Kangna,Dr Zeus,Unda Da Influence,album,2003,False,2026-05-14 19:14:09.488,3.51,Worldwide
Let The Music Play - Original Vocal Mix,Shamur,Let The Music Play (Original Vocal Mix),single,2004,False,2026-05-14 19:10:39.407,3.7,Dance
Dracula,Tame Impala,Dracula,single,2025,True,2026-05-14 19:03:05.859,3.42,Alternative
Children,Robert Miles,Children (Dance Vault Mixes),single,1996,False,2026-05-14 18:59:36.144,4.05,Dance
Turn The Lights Off,Kato,Discolized,album,2010,False,2026-05-14 18:55:36.066,2.96,Dance
Tell Me Why - Radio Edit,Supermode,Tell Me Why,single,2006,False,2026-05-14 18:52:35.981,2.9,Dance
Say It Right,Luke Muzzic,Say It Right,single,2024,False,2026-05-14 18:49:35.901,3.71,Pop
Tera Chehra,Adnan Sami,Tera Chehra,album,2002,False,2026-05-14 18:45:35.749,6.54,Indian Pop
UNI,Rene Blue,UNI,single,2026,False,2026-05-14 18:39:05.954,3.63,Dance
Get Away,Kungs,Out Loud,album,2026,False,2026-05-14 18:35:36.265,4.48,Electronic
Lady - Hear Me Tonight,Modjo,Modjo (Remastered),album,2001,False,2026-05-14 18:30:36.155,5.12,Pop
You Don't Know Me (feat. Duane Harden) - Radio Edit,Armand Van Helden,You Don't Know Me (feat. Duane Harden),single,1998,False,2026-05-14 18:25:06.000,4.04,Electronic
Need You Now,APE,Need You Now,single,2025,False,2026-05-14 18:21:05.992,3.03,Country
Forever - Extended Version,TOOTIMES,Hybride,album,2025,False,2026-05-14 18:14:05.926,4.59,House
